,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
55,0.5145,Thu Jan 18 15:42:27 +0000 2018,0.0,0.857,0.143,@BBC,"RT @BBCSpringwatch: ❄️ @ChrisGPackham, corvids and the return of #Winterwatch - what more could you wish for? 
Dragons? None of them sadly.…",55
56,0.0,Thu Jan 18 15:00:06 +0000 2018,0.0,1.0,0.0,@BBC,"🍫🍊Delicious chocolate pots, flavoured with coffee, orange and cardamom for only 155 kcals.... @ChefTomKerridge has… https://t.co/Q0I6fbdzox",56
57,0.0,Thu Jan 18 14:33:03 +0000 2018,0.0,1.0,0.0,@BBC,These companies give their staff Fridays off all year round. 📆 💻 👋 https://t.co/t8jptHGqWe https://t.co/pGMaxxkBNI,57
58,0.0,Thu Jan 18 14:00:10 +0000 2018,0.0,1.0,0.0,@BBC,Robot swans are taking to the waters of Singapore to test the quality of its reservoirs' drinking water. 🚰… https://t.co/J77xVUVTxa,58
59,0.3612,Thu Jan 18 13:29:03 +0000 2018,0.0,0.865,0.135,@BBC,"🚪❤️️ Jeyda Heselton roams the world taking pictures of brightly painted doors, crumbling façades and picture-perfec… https://t.co/LXoGuHr1h0",59
60,0.5994,Thu Jan 18 13:00:09 +0000 2018,0.0,0.766,0.234,@BBC,⚡🏠 Some simple steps you can take to turn your house into an energy efficient home. 👉 https://t.co/4JdEq6gn2K https://t.co/HSDL2whYJI,60
61,-0.128,Thu Jan 18 12:30:04 +0000 2018,0.086,0.914,0.0,@BBC,"Africa's smallest cat is also the world's deadliest, with a 60% hunting strike rate. 😼

#BigCats | 8pm | @BBCOne https://t.co/DP9KPy0oMp",61
62,0.743,Thu Jan 18 12:00:07 +0000 2018,0.0,0.751,0.249,@BBC,"👦👧 How clued-up are you on the wide-ranging positive effects of children getting active? 

Take this quiz &amp; see. 👉… https://t.co/wtrSxOiXed",62
63,0.6908,Thu Jan 18 11:10:01 +0000 2018,0.0,0.711,0.289,@BBC,✍ These original sketches of Winnie the Pooh reveal the inspiration behind the bear's appearance. ❤️️… https://t.co/99FRfprXRX,63
64,0.3182,Thu Jan 18 10:45:57 +0000 2018,0.0,0.839,0.161,@BBC,"❤️️ @Louis_Tomlinson has given $10,000 to a nine-year-old fan with cerebral palsy. https://t.co/BY6UpunaqH https://t.co/1FYNZJk3YR",64
65,0.4329,Thu Jan 18 10:36:26 +0000 2018,0.078,0.778,0.144,@BBC,"RT @bbcwritersroom: How do we measure success in #comedy? Is it simply no. of views?
@FactionMan just reposted his final sketch from our Fa…",65
66,0.6114,Thu Jan 18 09:55:37 +0000 2018,0.0,0.846,0.154,@BBC,"RT @BBCNewsround: Have you ever heard of a cat who loves water? Watch out, here comes the Fishing cat! 😺🎣 
on @BBCOne #BigCats https://t.co…",66
67,0.0,Thu Jan 18 09:30:06 +0000 2018,0.0,1.0,0.0,@BBC,🚒 Victorian firemen used to brush their bushy facial hair over their mouths as protection against smoke inhalation.… https://t.co/j29aNCSUhR,67
68,0.0,Thu Jan 18 09:01:04 +0000 2018,0.0,1.0,0.0,@BBC,"Get acquainted with K-Pop sensations @BTS_twt before their new @BBCR1 doco drops tomorrow...

They're kind of a HUG… https://t.co/yFrovXlljO",68
69,0.784,Thu Jan 18 08:44:02 +0000 2018,0.0,0.745,0.255,@BBC,RT @BBCSSO: Take a bow Lucas &amp; Arthur Jussen 👏👏👏 Retweet if you wish you could play like this! They're with us in Glasgow tomorrow night (a…,69
70,0.5267,Thu Jan 18 08:41:19 +0000 2018,0.0,0.855,0.145,@BBC,"RT @bbcideas: Driverless cars are the future, but how can we ensure that their moral compass is up to speed? 🤔 🚗 📹 https://t.co/4AioYSlXBU",70
71,0.0,Thu Jan 18 08:40:01 +0000 2018,0.0,1.0,0.0,@BBC,"🎨🖌 @Ciaran_Globel uses traditional signwriting tools and techniques to produce striking, hand-painted work. https://t.co/Xu4kmGnSHm",71
72,-0.5423,Thu Jan 18 08:20:04 +0000 2018,0.189,0.811,0.0,@BBC,"The real #McMafia: How organised crime moved online. 💻 https://t.co/uhzRp3AV4o

*🚨WARNING: spoilers for the first f… https://t.co/2fF0xExEKa",72
73,0.0,Thu Jan 18 08:00:03 +0000 2018,0.0,1.0,0.0,@BBC,"🗣👀 Do you listen with your eyes?

*turn your sound on for this experiment 🔉*

#TrustMeImADoctor https://t.co/WxeZ3hXbol",73
74,0.0,Thu Jan 18 07:38:09 +0000 2018,0.0,1.0,0.0,@BBC,"Over the next three years, photographer @MarioMacilau will record the changes brought by the introduction of clean… https://t.co/yaLJOXXAb5",74
75,0.0,Wed Jan 17 19:33:03 +0000 2018,0.0,1.0,0.0,@BBC,"Step inside the world of high-profile divorce cases, where millions of pounds are at stake and London is the battle… https://t.co/cHY5x6Z2Jb",75
76,0.4199,Wed Jan 17 19:08:42 +0000 2018,0.0,0.834,0.166,@BBC,"RT @BBCWthrWatchers: Nature's very own snowball! #SnowRoller https://t.co/aZFjuheu8B
Images courtesy of Clanger, South Lanarkshire https://…",76
77,0.128,Wed Jan 17 19:07:51 +0000 2018,0.0,0.914,0.086,@BBC,"RT @bbccomedy: Ahead of the Bayeux Tapestry's loan to the UK, here's an exclusive sneak peek. https://t.co/xsBwCl1EED",77
78,0.5859,Wed Jan 17 19:07:21 +0000 2018,0.0,0.863,0.137,@BBC,RT @bbcworldservice: This pair of North Korean figure skaters will be a big hit at the 2018 Winter Olympics. But are they expected to win a…,78
79,-0.4201,Wed Jan 17 19:07:07 +0000 2018,0.113,0.887,0.0,@BBC,"RT @BBCScotland: ""The more realistic they are the more freaky they are.""

A look into the world of incredibly life-like dolls known as 'reb…",79
80,0.0,Wed Jan 17 19:00:10 +0000 2018,0.0,1.0,0.0,@BBC,"👑 Lucy Worsley revisits key events in the lives of Henry VIII's six wives. 

Six Wives with @Lucy_Worsley | 9pm |… https://t.co/ZeTGZRXhgz",80
81,0.6114,Wed Jan 17 18:30:04 +0000 2018,0.0,0.693,0.307,@BBC,"Meet the woman who loves blood, guts &amp; gore! 🤢 https://t.co/zGQzBWxSgF",81
82,-0.372,Wed Jan 17 17:48:46 +0000 2018,0.104,0.896,0.0,@BBC,"RT @bbcthree: ""What do you do with your junk?"" WHY DO YOU CARE!?

Things not to say to drag kings and queens https://t.co/WJMCXD7S3r",82
83,-0.5255,Wed Jan 17 17:30:07 +0000 2018,0.274,0.726,0.0,@BBC,These coots are putting us all to shame! #GymGoals 😂 https://t.co/wOhUMeGKRg,83
84,0.0,Wed Jan 17 17:00:07 +0000 2018,0.0,1.0,0.0,@BBC,"@@@

Everyone uses it, but not many know its official name, so here's a brief history of the asperand. 👉… https://t.co/O5C08Kbc8J",84
85,0.0,Wed Jan 17 15:05:03 +0000 2018,0.0,1.0,0.0,@BBC,"🗣 Over 100 years after it was invented, Esperanto is spoken by relatively few people. 

But the internet has brough… https://t.co/SgjmD9LRth",85
86,0.0,Wed Jan 17 14:30:06 +0000 2018,0.0,1.0,0.0,@BBC,"Scotland has named its road gritters Sir Andy Flurry, Sir Salter Scott and Gritty Gritty Bang Bang. 😂… https://t.co/ZceYbNIOLx",86
87,0.0,Wed Jan 17 14:00:06 +0000 2018,0.0,1.0,0.0,@BBC,"Pop stars as novelists. 🎤✍

Only a select few have succeeded... 👉 https://t.co/YB5ZF9Ewv3 https://t.co/l27B3ycTmX",87
88,0.0,Wed Jan 17 13:30:04 +0000 2018,0.0,1.0,0.0,@BBC,"Thinking of buying a car?

🚙🎨 Apparently your choice of colour says more about you than you might realise.… https://t.co/QREMOhJBZF",88
89,0.0,Wed Jan 17 13:00:06 +0000 2018,0.0,1.0,0.0,@BBC,"Up until a century ago, residents of Makhunik were half a metre shorter than the average Iranian. @BBC_Travel… https://t.co/guNf5FR816",89
90,0.0,Wed Jan 17 12:30:01 +0000 2018,0.0,1.0,0.0,@BBC,Quick-fire questions with #McMafia's @jginorton! https://t.co/SoyRZUliv2,90
91,0.0,Wed Jan 17 12:00:08 +0000 2018,0.0,1.0,0.0,@BBC,The Bayeux Tapestry is to be displayed in UK for the first time. https://t.co/bTXsjJ9UTp https://t.co/HiOo3J3FUf,91
92,0.5461,Wed Jan 17 11:28:12 +0000 2018,0.0,0.81,0.19,@BBC,⚡️ @BTS_twt are about to appear in a @BBCR1 documentary and fans are READY! ✨ #BTS #BTSonBBCR1 https://t.co/RtV8VqjKJe,92
93,0.0,Wed Jan 17 10:34:20 +0000 2018,0.0,1.0,0.0,@BBC,RT @bbcthree: Dark-skinned girls explain colourism. https://t.co/3IymyDshkk,93
94,0.0,Wed Jan 17 10:31:35 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCOne: Pallas's cat. It's so still… so ghostly, that people think it's a rock. But it's not. It's a cat. Rocks don't miaow. Not as a r…",94
95,0.0,Wed Jan 17 10:05:32 +0000 2018,0.0,1.0,0.0,@BBC,RT @BBCSport: Manchester City Women forward Nikita Parris and Chelsea Ladies winger Karen Carney go head-to-head to see who's got the best…,95
96,0.1027,Wed Jan 17 09:00:13 +0000 2018,0.161,0.655,0.185,@BBC,"'The homophobia is staggering.'

Friends and the trouble with old sitcoms. 👉 https://t.co/ujOeE9oRPR https://t.co/sJG4bu0RQZ",96
97,0.34,Wed Jan 17 08:41:10 +0000 2018,0.0,0.888,0.112,@BBC,"RT @BBCFOUR: 🔎  Who is your favourite actor to play Sherlock Holmes? How to Be Sherlock Holmes, tonight from midnight. https://t.co/flUxnGA…",97
98,0.2023,Wed Jan 17 08:40:02 +0000 2018,0.0,0.921,0.079,@BBC,"Maybe we all need to find some 'monk time'?

Just one of the top tips on cracking that work-life balance from… https://t.co/OgfoyHiLnd",98
99,0.0,Wed Jan 17 08:39:10 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCScotland: Look out the thermals, snow has arrived in Scotland! https://t.co/kBphsIw865",99
